T,C0,C1,T_ns,T_ps
1600255000,161006,161725,1.600255,0.001600255
1600265000,161007,161726,1.600265,0.001600265
1600275000,161008,161727,1.600275,0.001600275
1600285000,161009,161728,1.600285,0.001600285
1600295000,161010,161729,1.600295,0.001600295
1600305000,161011,161730,1.600305,0.001600305
1600315000,161012,161731,1.600315,0.001600315
1600325000,161013,161731,1.600325,0.001600325
1600335000,161014,161732,1.600335,0.001600335
1600345000,161015,161733,1.600345,0.001600345
1600355000,161016,161734,1.600355,0.001600355
1600365000,161017,161735,1.600365,0.001600365
1600375000,161018,161736,1.600375,0.001600375
1600385000,161019,161737,1.600385,0.001600385
1600395000,161020,161738,1.600395,0.001600395
1600405000,161021,161739,1.600405,0.001600405
1600415000,161022,161740,1.600415,0.001600415
1600425000,161023,161741,1.600425,0.001600425
1600435000,161024,161742,1.600435,0.001600435
1600445000,161025,161743,1.600445,0.001600445
1600455000,161026,161744,1.600455,0.001600455
1600465000,161027,161745,1.600465,0.001600465
1600475000,161028,161746,1.600475,0.001600475
1600485000,161029,161747,1.600485,0.001600485
1600495000,161030,161748,1.600495,0.001600495
1600505000,161031,161749,1.600505,0.001600505
1600515000,161032,161750,1.600515,0.001600515
1600525000,161033,161751,1.600525,0.001600525
1600535000,161034,161752,1.600535,0.001600535
1600545000,161035,161753,1.600545,0.001600545
1600555000,161036,161754,1.600555,0.001600555
1600565000,161037,161755,1.600565,0.001600565
1600575000,161038,161756,1.600575,0.001600575
1600585000,161039,161757,1.600585,0.001600585
1600595000,161040,161758,1.600595,0.001600595
1600605000,161041,161759,1.600605,0.001600605
1600615000,161042,161760,1.600615,0.001600615
1600625000,161043,161761,1.600625,0.001600625
1600635000,161044,161762,1.600635,0.001600635
1600645000,161045,161763,1.600645,0.001600645
1600655000,161046,161764,1.600655,0.001600655
1600665000,161047,161765,1.600665,0.001600665
1600675000,161048,161766,1.600675,0.001600675
1600685000,161049,161767,1.600685,0.001600685
1600695000,161050,161768,1.600695,0.001600695
